ID;Location;Quantity;Length;Width;Thickness;Grade;Price;Description;Date;Species
101;Depot Y;61;10'-6";5'-5";7/4";1;6.97;Log;2025-02-12;Oak
102;Yard B;99;2'-8";2'-5";4/4";3;4.3;Piece;N/A;Oak
103;Warehouse 1;35;5'-11";6'-6";8/4";1;5.48;Bulk;N/A;Walnut
104;Yard A;3;11'-5";10'-7";8/4";3;32.18;Bulk;N/A;Maple
105;Yard B;63;3'-11";12'-7";2/4";2;3.77;Piece;N/A;Birch
106;Yard B;85;7'-0";1'-11";3/4";1;4.83;Bulk;N/A;Birch
107;Yard B;86;6'-11";9'-1";7/4";1;4.9;Bulk;N/A;Ash
108;Warehouse 2;32;11'-2";5'-2";6/4";4;2.35;Log;2023-09-11;Walnut
109;Warehouse 2;6;10'-4";7'-1";10/4";1;71.65;Log;2024-12-06;Cherry
110;Warehouse 1;63;2'-1";7'-1";9/4";1;5.75;Piece;N/A;Pine
111;Warehouse 2;78;4'-7";4'-0";10/4";2;4.73;Log;2024-11-01;Walnut
112;Depot Y;69;2'-6";3'-2";2/4";4;1.13;Piece;N/A;Cherry
113;Yard B;80;6'-2";10'-7";3/4";2;3.39;Piece;N/A;Walnut
114;Warehouse 2;19;8'-3";3'-2";1/4";1;18.79;Bulk;N/A;Walnut
115;Warehouse 2;11;2'-10";8'-7";8/4";4;11.36;Bulk;N/A;Pine
116;Yard B;93;7'-4";10'-9";1/4";1;4.76;Log;2023-10-12;Ash
117;Yard B;43;8'-5";7'-10";7/4";1;4.99;Bulk;N/A;Pine
118;Yard A;26;7'-2";8'-1";7/4";3;15.46;Bulk;N/A;Birch
119;Warehouse 2;41;3'-2";10'-5";3/4";3;5.43;Log;2024-07-02;Walnut
120;Warehouse 2;64;9'-8";3'-11";10/4";3;7.25;Bulk;N/A;Cherry
121;Warehouse 1;86;12'-4";12'-9";1/4";1;4.1;Log;2024-10-21;Oak
122;Yard B;16;9'-10";12'-9";2/4";4;27.44;Piece;N/A;Pine
123;Yard A;26;3'-11";2'-0";6/4";1;11.23;Log;2024-10-14;Walnut
124;Depot X;96;7'-2";6'-7";9/4";4;3.74;Piece;N/A;Cedar
125;Warehouse 1;11;2'-11";4'-11";4/4";4;5.65;Log;2024-01-11;Cedar
126;Yard B;47;10'-0";11'-4";10/4";2;1.05;Log;2024-06-04;Cedar
127;Yard A;78;1'-10";10'-9";3/4";4;2.12;Piece;N/A;Birch
128;Warehouse 1;33;9'-2";9'-0";5/4";3;3.77;Piece;N/A;Oak
129;Warehouse 1;59;10'-1";10'-11";10/4";4;6.6;Piece;N/A;Birch
130;Yard B;90;6'-4";5'-7";9/4";2;3.18;Piece;N/A;Birch
131;Yard A;34;3'-4";6'-8";10/4";3;2.76;Piece;N/A;Ash
132;Depot X;44;3'-10";8'-0";3/4";1;6.33;Log;2023-11-02;Maple
133;Yard A;92;7'-8";8'-7";6/4";2;2.74;Log;2024-04-16;Pine
134;Warehouse 1;24;4'-1";5'-7";10/4";3;10.05;Bulk;N/A;Walnut
135;Yard A;94;3'-3";12'-1";3/4";2;1.29;Bulk;N/A;Walnut
136;Warehouse 2;34;8'-7";11'-8";10/4";3;4.77;Log;2025-01-15;Maple
137;Yard B;13;4'-11";1'-10";7/4";2;1.22;Bulk;N/A;Pine
138;Yard B;55;5'-8";3'-11";1/4";1;0.46;Bulk;N/A;Oak
139;Depot Y;45;2'-11";10'-5";8/4";1;4.88;Bulk;N/A;Oak
140;Warehouse 1;56;1'-7";10'-5";1/4";4;8.55;Bulk;N/A;Birch
141;Depot X;42;7'-8";8'-4";3/4";4;9.55;Piece;N/A;Walnut
142;Yard A;50;9'-9";7'-11";9/4";2;5.83;Log;2023-08-20;Ash
143;Depot X;100;4'-6";4'-7";7/4";2;4.86;Piece;N/A;Oak
144;Yard B;76;3'-6";7'-1";9/4";4;2.2;Bulk;N/A;Pine
145;Yard B;53;9'-11";7'-0";9/4";3;0.68;Log;2023-12-28;Ash
146;Depot X;76;5'-0";10'-2";10/4";3;0.98;Bulk;N/A;Cedar
147;Depot X;83;8'-6";6'-8";1/4";3;1.65;Piece;N/A;Walnut
148;Depot Y;7;1'-11";12'-5";2/4";2;60.39;Bulk;N/A;Pine
149;Depot Y;85;6'-0";8'-4";6/4";1;4.23;Log;2023-05-24;Pine
150;Warehouse 2;84;8'-3";8'-9";7/4";1;1.9;Piece;N/A;Birch
151;Depot Y;96;11'-5";7'-3";2/4";4;1.89;Log;2025-02-19;Cherry
152;Warehouse 1;40;3'-0";11'-6";9/4";1;7.63;Log;2023-11-05;Birch
153;Depot Y;7;5'-8";9'-1";6/4";1;9.54;Piece;N/A;Cedar
154;Yard A;62;5'-0";7'-11";9/4";4;1.6;Bulk;N/A;Walnut
155;Yard A;4;12'-5";8'-2";5/4";3;80.75;Bulk;N/A;Cedar
156;Depot X;40;2'-4";6'-8";4/4";1;6.33;Log;2023-12-31;Maple
157;Depot Y;55;8'-1";7'-2";8/4";4;6.32;Log;2024-03-25;Ash
158;Depot X;6;11'-0";10'-4";7/4";4;38.74;Log;2024-09-12;Ash
159;Yard A;55;4'-7";3'-5";9/4";2;1.66;Log;2025-02-11;Walnut
160;Warehouse 1;10;3'-5";3'-9";1/4";3;5.35;Bulk;N/A;Pine
161;Yard B;27;7'-4";6'-2";7/4";4;6.8;Bulk;N/A;Pine
162;Yard B;12;12'-8";11'-8";9/4";4;8.76;Bulk;N/A;Oak
163;Warehouse 2;94;8'-4";1'-10";6/4";1;4.98;Log;2024-11-24;Oak
164;Warehouse 1;76;6'-11";11'-6";8/4";3;4.73;Log;2023-04-27;Maple
165;Warehouse 2;100;7'-5";6'-1";6/4";1;1.67;Bulk;N/A;Ash
166;Warehouse 2;97;11'-6";6'-9";2/4";3;4.46;Bulk;N/A;Ash
167;Warehouse 1;44;4'-6";8'-7";6/4";4;9.65;Bulk;N/A;Pine
168;Warehouse 2;32;10'-8";4'-7";5/4";3;2.34;Log;2023-01-28;Maple
169;Warehouse 2;85;3'-1";12'-7";10/4";1;1.08;Log;2023-02-01;Ash
170;Depot Y;6;5'-7";7'-6";9/4";1;47.76;Piece;N/A;Pine
171;Yard A;45;12'-4";1'-11";5/4";1;3.33;Bulk;N/A;Cherry
172;Depot X;62;12'-11";11'-5";6/4";1;1.45;Log;2025-01-05;Oak
173;Depot X;72;7'-7";9'-9";9/4";3;1.27;Bulk;N/A;Ash
174;Yard B;62;9'-7";3'-2";7/4";1;7.66;Piece;N/A;Cedar
175;Yard A;96;5'-10";5'-10";5/4";3;4.02;Bulk;N/A;Oak
176;Yard A;94;8'-1";5'-0";9/4";3;3.8;Bulk;N/A;Cedar
177;Depot X;69;9'-2";2'-6";4/4";4;2.19;Bulk;N/A;Cherry
178;Warehouse 1;17;10'-9";8'-3";6/4";3;16.1;Piece;N/A;Cedar
179;Depot X;38;7'-3";3'-6";3/4";4;5.56;Bulk;N/A;Maple
180;Depot X;79;1'-11";4'-8";5/4";3;1.54;Bulk;N/A;Cedar
181;Yard B;89;10'-8";9'-9";1/4";4;2.76;Bulk;N/A;Cedar
182;Warehouse 2;92;10'-2";11'-10";5/4";4;3.14;Bulk;N/A;Birch
183;Yard A;22;7'-1";2'-3";9/4";1;9.04;Bulk;N/A;Oak
184;Yard A;44;2'-1";6'-2";1/4";2;2.95;Piece;N/A;Ash
185;Warehouse 1;45;6'-11";7'-1";4/4";4;2.93;Log;2023-07-19;Oak
186;Warehouse 1;10;7'-0";6'-2";6/4";1;9.51;Log;2023-11-29;Ash
187;Yard B;75;9'-4";6'-0";10/4";4;1.01;Bulk;N/A;Pine
188;Warehouse 2;12;4'-7";8'-6";1/4";2;25.67;Bulk;N/A;Pine
189;Yard A;29;3'-7";6'-5";1/4";1;1.7;Log;2024-06-07;Walnut
190;Warehouse 1;48;4'-3";8'-1";5/4";4;3.2;Piece;N/A;Birch
191;Yard B;78;6'-1";8'-4";8/4";3;3.36;Log;2024-11-04;Maple
192;Warehouse 1;25;5'-10";6'-4";5/4";2;9.64;Log;2024-04-06;Pine
193;Depot Y;96;9'-5";8'-11";1/4";1;2.2;Piece;N/A;Walnut
194;Depot Y;71;4'-6";7'-7";5/4";1;0.71;Bulk;N/A;Oak
195;Warehouse 1;47;7'-6";11'-6";7/4";4;10.12;Log;2024-12-31;Oak
196;Yard A;5;3'-9";3'-11";2/4";2;20.78;Piece;N/A;Birch
197;Warehouse 2;27;6'-8";11'-3";7/4";2;16.2;Bulk;N/A;Cherry
198;Yard B;65;4'-2";9'-5";1/4";2;0.44;Piece;N/A;Cedar
199;Yard A;63;9'-2";4'-4";9/4";4;0.56;Log;2024-01-17;Birch
200;Warehouse 1;78;12'-7";4'-10";4/4";2;1.08;Piece;N/A;Walnut
