ID;Location;Quantity;Length;Width;Thickness;Grade;Price;Description;Date;Species
62;Yard B;64;3'-2";11'-1";9/4";1;6.81;Log;2023-10-12;Ash
63;Yard B;86;8'-3";12'-11";9/4";4;3.87;Log;2025-01-17;Birch
64;Warehouse 2;57;6'-8";3'-6";1/4";3;2.13;Piece;N/A;Cherry
65;Warehouse 1;4;2'-3";4'-4";3/4";3;8.92;Piece;N/A;Ash
66;Warehouse 2;53;4'-11";2'-7";8/4";3;4.26;Piece;N/A;Cedar
67;Depot Y;100;10'-7";10'-5";3/4";3;3.98;Bulk;N/A;Oak
68;Depot X;69;12'-5";7'-10";10/4";2;5.46;Log;2024-08-14;Oak
69;Depot X;98;7'-9";5'-2";3/4";1;3.69;Bulk;N/A;Ash
70;Warehouse 1;26;7'-7";8'-11";5/4";3;7.53;Log;2025-01-14;Birch
71;Yard B;81;8'-1";10'-8";4/4";2;2.05;Piece;N/A;Cherry
72;Warehouse 1;31;4'-11";2'-10";9/4";2;13.85;Log;2024-09-05;Pine
73;Warehouse 2;94;9'-10";5'-1";10/4";3;0.46;Piece;N/A;Maple
74;Yard A;55;3'-7";3'-1";5/4";1;6.35;Bulk;N/A;Birch
75;Yard B;13;10'-8";3'-1";1/4";4;13.68;Log;2024-08-14;Ash
76;Yard A;78;10'-5";8'-4";8/4";2;2.11;Piece;N/A;Oak
77;Yard B;15;5'-2";11'-9";5/4";2;31.26;Piece;N/A;Walnut
78;Yard B;39;12'-8";11'-1";5/4";4;11.73;Bulk;N/A;Cherry
79;Depot Y;84;5'-3";2'-6";9/4";1;2.53;Piece;N/A;Pine
80;Depot Y;100;3'-6";12'-3";1/4";3;0.38;Piece;N/A;Maple
81;Warehouse 1;71;3'-7";12'-3";10/4";1;4.87;Piece;N/A;Walnut
82;Yard A;2;1'-3";12'-3";3/4";2;32.94;Bulk;N/A;Ash
83;Warehouse 2;44;1'-10";9'-4";10/4";1;0.51;Piece;N/A;Oak
84;Warehouse 2;31;4'-11";10'-0";8/4";2;11.11;Log;2025-02-17;Maple
85;Yard B;83;6'-0";7'-6";9/4";2;4.17;Log;2024-12-16;Cedar
86;Depot Y;31;10'-6";3'-1";9/4";4;11.53;Piece;N/A;Birch
87;Yard B;72;10'-11";2'-5";6/4";4;5.95;Log;2024-10-03;Maple
88;Warehouse 1;99;8'-6";6'-3";7/4";4;3.82;Log;2023-10-09;Oak
89;Yard A;4;5'-11";7'-1";8/4";4;79.52;Bulk;N/A;Cedar
90;Yard B;14;12'-5";11'-0";6/4";1;9.25;Bulk;N/A;Ash
91;Yard B;56;8'-3";2'-3";8/4";1;4.52;Log;2023-09-07;Cedar
92;Warehouse 2;32;9'-11";12'-10";9/4";4;12.25;Piece;N/A;Cedar
93;Warehouse 1;95;3'-5";5'-10";9/4";3;0.71;Log;2024-08-19;Walnut
94;Yard A;67;7'-10";10'-6";3/4";3;6.49;Bulk;N/A;Birch
95;Yard B;92;2'-3";1'-7";6/4";2;3.61;Bulk;N/A;Birch
96;Warehouse 2;2;8'-5";5'-2";3/4";2;28.1;Bulk;N/A;Pine
97;Warehouse 1;40;8'-2";1'-3";5/4";3;10.84;Log;2023-01-03;Oak
98;Warehouse 1;34;2'-4";12'-5";5/4";3;12.16;Piece;N/A;Pine
99;Warehouse 2;3;10'-9";8'-3";3/4";4;57.99;Bulk;N/A;Birch
100;Yard A;2;11'-1";10'-5";4/4";2;133.77;Bulk;N/A;Maple
101;Yard B;77;1'-0";2'-6";6/4";2;0.58;Piece;N/A;Ash
102;Warehouse 2;86;6'-8";2'-7";4/4";2;2.88;Bulk;N/A;Ash
103;Depot X;10;1'-1";8'-5";6/4";4;49.38;Bulk;N/A;Pine
104;Depot Y;29;3'-3";9'-1";10/4";3;10.37;Piece;N/A;Walnut
105;Depot X;48;8'-8";11'-9";6/4";2;5.07;Piece;N/A;Birch
106;Warehouse 2;60;12'-0";10'-8";8/4";2;3.39;Log;2024-06-04;Oak
107;Warehouse 1;83;8'-11";12'-3";3/4";2;1.11;Log;2024-02-06;Cedar
108;Warehouse 1;100;4'-3";2'-2";6/4";4;1.09;Log;2024-11-28;Birch
109;Warehouse 1;94;4'-8";2'-5";10/4";1;4.39;Bulk;N/A;Cherry
110;Depot Y;41;11'-3";8'-1";7/4";4;5.63;Bulk;N/A;Birch
111;Warehouse 2;34;9'-3";2'-1";6/4";3;12.33;Piece;N/A;Cedar
112;Depot X;76;10'-5";12'-1";4/4";1;4.31;Log;2023-09-03;Birch
113;Warehouse 1;95;2'-8";1'-9";8/4";3;1.46;Log;2023-04-18;Cedar
114;Depot Y;52;3'-11";10'-10";3/4";3;6.86;Piece;N/A;Oak
115;Yard B;65;6'-4";6'-6";8/4";2;5.94;Log;2023-09-08;Ash
116;Yard B;90;2'-0";11'-8";10/4";1;1.89;Bulk;N/A;Walnut
117;Depot X;89;2'-1";11'-3";5/4";3;4.24;Log;2025-03-21;Ash
118;Warehouse 1;49;2'-3";12'-2";4/4";3;2.11;Bulk;N/A;Oak
119;Warehouse 2;79;11'-9";2'-4";6/4";4;5.47;Log;2024-01-22;Pine
120;Warehouse 1;45;2'-3";5'-9";2/4";4;6.52;Bulk;N/A;Maple
121;Yard B;53;6'-3";1'-1";7/4";1;8.89;Bulk;N/A;Cedar
122;Depot X;33;4'-8";12'-11";1/4";1;7.55;Log;2024-05-23;Pine
123;Depot X;5;5'-5";1'-3";6/4";1;60.2;Piece;N/A;Pine
124;Yard B;33;5'-10";5'-8";7/4";1;2.27;Log;2024-11-16;Cherry
125;Depot X;82;11'-7";12'-2";7/4";2;4.78;Bulk;N/A;Birch
126;Yard B;67;6'-7";10'-9";6/4";4;3.6;Bulk;N/A;Birch
127;Depot X;72;8'-6";12'-0";7/4";4;1.93;Bulk;N/A;Oak
128;Yard B;60;5'-6";4'-0";6/4";1;5.69;Piece;N/A;Walnut
129;Warehouse 2;37;6'-3";11'-4";8/4";1;0.49;Bulk;N/A;Cedar
130;Warehouse 1;22;4'-0";2'-4";6/4";3;20.24;Piece;N/A;Cedar
131;Warehouse 1;67;2'-0";9'-7";10/4";1;7.34;Piece;N/A;Pine
132;Yard A;17;5'-10";12'-11";1/4";3;16.27;Bulk;N/A;Cherry
133;Depot Y;76;1'-5";9'-7";8/4";1;2.67;Log;2023-01-14;Cedar
134;Warehouse 1;28;5'-0";11'-1";4/4";3;10.91;Piece;N/A;Cedar
135;Warehouse 2;25;9'-0";3'-1";7/4";1;2.61;Log;2023-01-21;Cherry
136;Depot Y;4;1'-3";4'-0";2/4";3;109.92;Log;2024-06-20;Cedar
137;Yard A;13;8'-8";10'-9";3/4";3;27.61;Piece;N/A;Maple
138;Yard B;23;7'-7";6'-4";4/4";1;13.73;Bulk;N/A;Maple
139;Yard A;74;10'-10";9'-7";1/4";3;6.47;Log;2023-12-23;Pine
140;Depot Y;10;2'-8";12'-11";5/4";3;28.59;Bulk;N/A;Birch
141;Warehouse 1;55;10'-2";2'-7";4/4";3;3.08;Log;2025-01-19;Maple
142;Depot X;61;10'-6";12'-5";8/4";1;4.25;Log;2024-08-22;Walnut
143;Depot Y;10;7'-11";11'-2";5/4";4;10.92;Bulk;N/A;Walnut
144;Warehouse 2;66;1'-10";12'-3";5/4";4;6.58;Log;2023-09-17;Maple
145;Warehouse 1;6;7'-6";10'-3";5/4";4;61.96;Log;2023-12-26;Cherry
146;Depot X;5;12'-11";3'-11";2/4";3;1.59;Bulk;N/A;Pine
147;Warehouse 1;56;9'-7";9'-4";9/4";3;6.82;Bulk;N/A;Walnut
148;Warehouse 2;79;1'-2";6'-6";9/4";4;3.06;Log;2025-02-11;Birch
149;Yard A;10;6'-7";1'-8";1/4";4;20.59;Bulk;N/A;Ash
150;Depot X;57;12'-10";11'-1";4/4";1;5.87;Log;2023-11-04;Oak
151;Warehouse 2;52;6'-4";4'-0";8/4";3;3.44;Bulk;N/A;Maple
152;Warehouse 2;23;8'-1";4'-6";2/4";3;7.08;Log;2024-01-28;Oak
153;Depot X;14;2'-3";7'-4";4/4";4;4.41;Log;2024-09-08;Birch
154;Yard B;77;8'-3";7'-7";5/4";3;4.75;Piece;N/A;Birch
155;Yard A;8;5'-8";10'-2";4/4";1;16.88;Bulk;N/A;Maple
156;Warehouse 1;12;5'-11";4'-1";1/4";3;17.81;Log;2023-02-28;Walnut
157;Warehouse 2;85;5'-9";8'-5";3/4";2;0.27;Bulk;N/A;Ash
158;Warehouse 2;78;6'-6";4'-1";1/4";4;4.75;Piece;N/A;Oak
159;Yard B;8;8'-9";11'-2";8/4";4;54.06;Bulk;N/A;Pine
160;Depot X;40;6'-0";3'-7";9/4";3;0.54;Bulk;N/A;Oak
161;Yard A;51;4'-8";6'-3";8/4";1;5.38;Piece;N/A;Oak
162;Warehouse 2;44;5'-10";5'-7";6/4";2;6.51;Piece;N/A;Cherry
163;Depot X;9;4'-10";3'-6";5/4";1;55.0;Log;2024-04-07;Ash
164;Warehouse 2;10;7'-3";12'-9";9/4";3;29.14;Bulk;N/A;Ash
165;Depot X;52;3'-10";8'-7";9/4";2;3.72;Log;2023-06-23;Birch
166;Yard A;33;6'-5";7'-3";4/4";4;4.86;Piece;N/A;Cherry
167;Depot X;4;6'-0";9'-8";7/4";1;1.78;Bulk;N/A;Walnut
168;Warehouse 2;55;2'-3";12'-11";10/4";1;1.31;Piece;N/A;Birch
169;Warehouse 2;61;3'-10";9'-5";10/4";3;1.0;Bulk;N/A;Cedar
170;Warehouse 1;36;8'-7";11'-3";1/4";2;11.07;Log;2023-10-23;Birch
171;Depot Y;99;12'-11";10'-5";3/4";1;4.02;Bulk;N/A;Walnut
172;Depot X;55;7'-9";10'-10";1/4";4;2.87;Log;2024-10-20;Pine
173;Depot Y;42;1'-3";3'-1";1/4";4;4.29;Piece;N/A;Birch
174;Warehouse 1;44;11'-9";1'-2";8/4";4;8.82;Bulk;N/A;Cedar
175;Warehouse 1;43;6'-2";5'-9";8/4";3;4.16;Bulk;N/A;Maple
176;Depot X;27;9'-1";10'-0";5/4";2;1.03;Log;2024-04-01;Oak
177;Yard A;22;2'-3";7'-10";6/4";4;18.37;Bulk;N/A;Oak
178;Depot Y;53;10'-1";4'-2";2/4";3;3.72;Log;2023-02-22;Maple
179;Warehouse 1;50;4'-5";8'-6";9/4";2;6.79;Bulk;N/A;Cherry
180;Depot Y;86;5'-8";9'-4";9/4";1;4.08;Log;2024-10-30;Ash
181;Depot X;89;5'-9";9'-0";1/4";1;4.48;Bulk;N/A;Pine
182;Warehouse 2;57;8'-11";10'-3";10/4";4;5.52;Piece;N/A;Walnut
183;Warehouse 2;31;1'-3";1'-0";3/4";3;6.48;Log;2025-03-25;Walnut
184;Yard A;30;2'-6";11'-4";4/4";4;2.04;Bulk;N/A;Cedar
185;Depot Y;12;5'-3";12'-11";4/4";1;13.02;Log;2023-08-16;Birch
186;Yard B;40;12'-5";5'-9";1/4";2;7.38;Log;2023-12-29;Cherry
187;Depot X;81;10'-11";11'-1";1/4";1;0.16;Piece;N/A;Walnut
188;Depot Y;10;11'-11";7'-0";4/4";4;20.85;Log;2025-03-28;Birch
189;Yard B;43;12'-2";10'-10";7/4";2;6.4;Piece;N/A;Maple
190;Yard A;97;7'-10";6'-1";4/4";4;2.85;Piece;N/A;Ash
191;Warehouse 1;43;2'-11";1'-3";6/4";1;1.2;Bulk;N/A;Pine
192;Warehouse 1;75;1'-6";1'-2";2/4";1;3.23;Piece;N/A;Maple
193;Depot X;46;1'-4";3'-2";1/4";3;7.22;Piece;N/A;Maple
194;Warehouse 2;49;5'-6";5'-8";1/4";2;5.02;Piece;N/A;Birch
195;Depot Y;47;1'-8";6'-7";1/4";4;0.15;Log;2023-08-08;Oak
196;Warehouse 1;95;4'-7";7'-2";7/4";4;1.06;Bulk;N/A;Birch
197;Yard A;83;6'-8";10'-8";8/4";3;2.82;Piece;N/A;Pine
198;Depot Y;18;1'-4";1'-2";4/4";4;27.37;Log;2024-10-30;Pine
199;Depot X;17;12'-4";1'-10";3/4";2;15.38;Log;2023-12-16;Maple
200;Yard B;71;6'-7";6'-6";10/4";4;1.63;Piece;N/A;Cedar
201;Warehouse 1;56;10'-1";1'-8";9/4";4;7.17;Bulk;N/A;Ash
202;Warehouse 2;54;4'-10";2'-5";8/4";1;0.77;Piece;N/A;Pine
203;Depot Y;4;9'-10";8'-10";6/4";3;95.16;Bulk;N/A;Ash
204;Yard A;82;7'-2";1'-8";8/4";2;3.13;Log;2023-06-16;Cherry
205;Depot Y;30;2'-11";1'-10";3/4";4;6.11;Bulk;N/A;Birch
206;Depot X;21;6'-6";4'-10";9/4";2;20.6;Bulk;N/A;Walnut
207;Yard A;51;8'-11";5'-11";6/4";4;8.45;Log;2023-12-04;Birch
208;Depot Y;35;8'-10";1'-2";5/4";4;3.9;Bulk;N/A;Oak
209;Depot X;81;6'-8";10'-8";10/4";1;4.18;Log;2023-04-12;Oak
210;Yard B;86;1'-10";12'-3";1/4";3;1.99;Log;2024-10-11;Cedar
211;Depot X;90;4'-0";12'-5";9/4";4;0.78;Log;2024-08-25;Ash
212;Warehouse 1;80;9'-2";1'-2";4/4";3;1.68;Log;2023-01-31;Pine
213;Depot Y;92;11'-0";4'-2";9/4";1;2.6;Log;2023-12-28;Walnut
214;Yard B;71;3'-1";12'-11";3/4";3;2.86;Piece;N/A;Cherry
215;Yard A;98;3'-11";8'-6";7/4";3;1.29;Log;2023-02-20;Oak
216;Yard B;64;9'-4";3'-0";7/4";1;7.53;Log;2024-10-14;Birch
217;Warehouse 1;76;11'-7";5'-4";6/4";4;3.4;Piece;N/A;Oak
218;Depot X;5;9'-4";6'-6";10/4";1;31.04;Piece;N/A;Birch
219;Yard B;6;7'-8";9'-10";9/4";2;13.86;Piece;N/A;Maple
220;Yard A;77;9'-7";8'-0";7/4";3;5.45;Log;2024-01-14;Cedar
221;Depot X;73;9'-10";8'-9";5/4";4;5.12;Bulk;N/A;Pine
222;Warehouse 1;5;7'-3";9'-5";6/4";2;18.71;Bulk;N/A;Cherry
223;Yard B;64;11'-1";11'-1";4/4";3;3.46;Piece;N/A;Oak
224;Warehouse 2;10;12'-3";2'-9";3/4";4;17.93;Log;2023-10-23;Oak
225;Warehouse 2;42;10'-7";12'-6";6/4";3;2.69;Piece;N/A;Walnut
226;Yard B;44;10'-5";7'-8";6/4";1;5.27;Piece;N/A;Pine
227;Warehouse 2;100;5'-10";8'-11";1/4";3;4.07;Bulk;N/A;Pine
228;Yard B;96;7'-11";10'-9";5/4";2;3.21;Bulk;N/A;Walnut
229;Depot Y;70;9'-10";10'-6";4/4";4;5.53;Piece;N/A;Oak
230;Yard A;69;12'-6";10'-0";4/4";4;0.1;Bulk;N/A;Cedar
231;Yard A;64;7'-0";12'-6";2/4";4;5.51;Log;2023-10-07;Ash
232;Depot Y;28;3'-4";2'-10";9/4";3;3.67;Piece;N/A;Maple
233;Warehouse 1;69;12'-0";4'-10";8/4";4;4.67;Bulk;N/A;Cherry
234;Depot Y;62;9'-11";6'-0";9/4";2;2.2;Piece;N/A;Pine
235;Yard B;62;2'-3";10'-6";4/4";4;3.48;Piece;N/A;Maple
236;Warehouse 2;36;1'-0";1'-5";9/4";4;2.22;Piece;N/A;Walnut
237;Depot X;95;8'-6";2'-11";3/4";1;4.22;Bulk;N/A;Walnut
238;Depot X;57;3'-2";12'-11";2/4";3;4.38;Bulk;N/A;Cherry
239;Warehouse 2;50;5'-10";3'-10";9/4";3;3.08;Bulk;N/A;Cherry
240;Yard A;71;4'-8";4'-6";1/4";1;4.92;Log;2024-10-19;Birch
241;Yard B;68;7'-1";10'-5";8/4";2;4.33;Bulk;N/A;Cherry
242;Depot Y;11;2'-6";12'-2";8/4";3;26.88;Log;2024-02-27;Cedar
243;Depot X;6;5'-8";7'-11";10/4";1;56.6;Piece;N/A;Cherry
244;Yard A;90;5'-9";10'-1";4/4";2;4.27;Piece;N/A;Maple
245;Yard B;68;1'-7";5'-9";10/4";4;2.18;Piece;N/A;Birch
246;Warehouse 1;3;4'-7";1'-7";3/4";1;145.32;Piece;N/A;Cedar
247;Warehouse 2;18;4'-6";7'-9";5/4";4;2.7;Piece;N/A;Cedar
248;Warehouse 1;50;5'-10";8'-0";2/4";4;7.14;Piece;N/A;Oak
249;Yard A;10;3'-4";3'-8";7/4";1;0.87;Bulk;N/A;Ash
250;Warehouse 1;88;8'-8";12'-8";5/4";3;3.76;Log;2023-05-25;Birch
251;Depot X;39;4'-4";6'-3";3/4";4;0.23;Bulk;N/A;Cherry
252;Warehouse 2;79;9'-4";9'-6";9/4";2;1.11;Bulk;N/A;Cedar
253;Yard A;96;1'-1";7'-4";10/4";1;1.18;Log;2023-01-10;Pine
254;Warehouse 2;65;1'-8";9'-9";10/4";2;4.42;Log;2023-02-03;Ash
255;Depot Y;54;12'-1";5'-3";7/4";4;1.92;Log;2023-10-22;Oak
256;Yard B;9;5'-5";9'-1";3/4";1;20.9;Piece;N/A;Oak
257;Warehouse 1;31;4'-6";2'-10";8/4";3;12.85;Log;2023-08-19;Ash
258;Warehouse 1;15;1'-1";8'-7";4/4";4;17.16;Bulk;N/A;Pine
259;Depot X;80;10'-9";4'-3";1/4";2;6.1;Bulk;N/A;Oak
260;Warehouse 2;25;10'-9";7'-4";6/4";4;11.7;Bulk;N/A;Ash
261;Depot Y;94;10'-0";11'-6";6/4";3;0.37;Bulk;N/A;Ash
262;Yard B;70;4'-3";10'-7";1/4";2;6.74;Piece;N/A;Walnut
263;Yard A;97;8'-9";11'-5";7/4";2;4.69;Piece;N/A;Cherry
264;Depot X;85;11'-6";2'-0";8/4";3;3.03;Log;2024-07-19;Ash
265;Warehouse 2;59;5'-3";9'-4";9/4";2;4.1;Log;2023-08-28;Ash
266;Depot Y;19;10'-6";1'-10";6/4";1;24.25;Piece;N/A;Ash
267;Yard A;20;5'-9";12'-9";9/4";2;14.68;Bulk;N/A;Cedar
268;Yard A;97;11'-9";1'-4";9/4";2;4.21;Log;2024-10-08;Cherry
269;Warehouse 2;79;9'-8";10'-0";7/4";2;1.58;Bulk;N/A;Ash
270;Depot X;51;1'-10";2'-7";6/4";2;8.92;Piece;N/A;Pine
271;Yard A;4;5'-8";4'-0";4/4";3;86.82;Piece;N/A;Birch
272;Warehouse 1;44;4'-10";9'-7";2/4";3;3.76;Bulk;N/A;Pine
273;Depot X;60;11'-3";3'-9";10/4";3;7.78;Log;2023-12-10;Birch
274;Warehouse 2;20;11'-1";2'-9";4/4";4;6.33;Piece;N/A;Cherry
275;Yard B;45;8'-9";5'-3";5/4";4;7.83;Bulk;N/A;Birch
276;Yard B;76;5'-7";5'-1";2/4";2;0.76;Piece;N/A;Birch
277;Yard A;74;3'-3";2'-5";10/4";3;0.76;Piece;N/A;Walnut
278;Warehouse 1;75;2'-1";3'-2";3/4";2;3.38;Log;2023-08-23;Cherry
279;Depot X;31;7'-8";11'-1";9/4";3;0.33;Bulk;N/A;Walnut
280;Yard B;36;7'-0";4'-10";3/4";1;1.08;Piece;N/A;Maple
281;Yard B;25;1'-1";6'-4";1/4";1;4.81;Log;2024-08-19;Ash
282;Yard A;74;10'-1";2'-11";5/4";2;2.46;Piece;N/A;Cedar
283;Depot Y;74;10'-9";3'-4";4/4";2;0.4;Bulk;N/A;Walnut
284;Depot Y;45;11'-6";8'-5";5/4";3;2.62;Piece;N/A;Oak
285;Depot X;8;8'-2";7'-5";4/4";1;6.39;Piece;N/A;Cedar
286;Warehouse 2;15;12'-7";12'-5";1/4";2;22.36;Log;2023-08-08;Cherry
287;Yard B;48;6'-7";10'-3";2/4";2;9.93;Log;2024-09-07;Pine
288;Warehouse 1;68;4'-5";3'-2";10/4";2;5.9;Log;2023-06-27;Maple
289;Yard A;7;12'-10";4'-5";8/4";2;42.52;Piece;N/A;Cedar
290;Depot Y;9;9'-1";2'-7";10/4";1;1.17;Bulk;N/A;Birch
291;Depot X;15;9'-5";8'-4";2/4";1;31.23;Log;2023-03-15;Oak
292;Warehouse 2;1;1'-11";3'-10";2/4";3;413.91;Bulk;N/A;Oak
293;Yard A;92;6'-7";7'-4";7/4";1;1.58;Bulk;N/A;Pine
294;Depot Y;3;6'-7";8'-6";3/4";1;164.58;Piece;N/A;Birch
295;Yard B;92;3'-2";4'-9";6/4";1;4.08;Log;2023-01-20;Birch
296;Depot X;60;10'-2";4'-5";8/4";3;4.69;Piece;N/A;Maple
297;Warehouse 2;6;6'-4";6'-2";7/4";3;27.44;Piece;N/A;Birch
298;Depot X;33;1'-2";9'-6";8/4";3;7.91;Bulk;N/A;Birch
299;Warehouse 2;41;5'-8";5'-1";1/4";4;4.6;Bulk;N/A;Walnut
300;Depot Y;67;9'-5";8'-3";1/4";4;3.94;Bulk;N/A;Pine
301;Yard B;87;12'-9";4'-1";1/4";4;4.92;Piece;N/A;Birch
302;Yard A;40;2'-10";9'-10";5/4";2;9.63;Piece;N/A;Maple
303;Warehouse 2;49;12'-2";6'-0";8/4";1;0.38;Log;2025-03-08;Cherry
304;Depot X;84;11'-8";7'-3";8/4";2;4.07;Log;2023-11-10;Cherry
305;Warehouse 2;76;8'-3";1'-2";9/4";2;2.02;Bulk;N/A;Cherry
306;Depot Y;82;9'-1";11'-2";7/4";4;1.86;Piece;N/A;Birch
307;Depot X;20;3'-10";8'-4";3/4";2;7.66;Piece;N/A;Walnut
308;Yard A;45;7'-5";9'-9";1/4";1;1.54;Log;2023-05-29;Cedar
309;Warehouse 2;60;10'-6";6'-2";7/4";1;2.4;Bulk;N/A;Pine
310;Warehouse 1;14;2'-2";12'-5";1/4";4;6.44;Bulk;N/A;Birch
311;Warehouse 2;23;8'-5";1'-3";2/4";4;1.98;Log;2023-07-21;Pine
312;Yard B;11;6'-10";10'-1";4/4";3;32.75;Bulk;N/A;Maple
313;Depot Y;16;12'-7";5'-6";2/4";4;29.91;Piece;N/A;Oak
314;Warehouse 1;48;3'-6";7'-6";2/4";4;8.56;Piece;N/A;Cedar
315;Yard A;25;3'-10";5'-5";8/4";4;3.97;Log;2023-04-26;Maple
316;Depot Y;98;12'-1";2'-0";3/4";3;0.3;Bulk;N/A;Pine
317;Depot X;32;11'-2";2'-2";9/4";2;1.71;Bulk;N/A;Ash
318;Yard A;36;3'-7";4'-6";9/4";3;5.27;Log;2023-03-02;Walnut
319;Depot X;79;3'-0";5'-10";8/4";3;1.32;Log;2024-01-10;Cedar
